BestsellerNonfic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2016,CookbooksFood&Wine,4,Cravings: Recipes for All the Food You Want to・,Chrissy Teigen,2016,Clarkson Potter,240,29.99,1,1,1,0,0,24096.68164,,1
2016,CookbooksFood&Wine,4,Cooking for Jeffrey: A Barefoot Contessa Cookbook,Ina Garten,2016,Clarkson Potter,256,35,1,0,1,0,0,162382,,1
2016,CookbooksFood&Wine,4,The Food Lab: Better Home Cooking Through・,J. Kenji L?pez-Alt,2015,W. W. Norton & Company,958,49.95,0,1,1,0,0,16371.3,,0
2015,CookbooksFood&Wine,4,The Pioneer Woman Cooks: Dinnertime・,Ree Drummond,2015,William Morrow Cookbooks,400,29.99,1,0,1,0,0,1.96E+05,,1
2015,CookbooksFood&Wine,4,Inspiralized: Turn Vegetables into Healthy・,Ali Maffucci,2015,Clarkson Potter,224,19.99,1,1,1,0,0,3617.9,,1
2015,CookbooksFood&Wine,4,The 20/20 Diet: Turn Your Weight Loss Vision・,Phil McGraw,2015,Ghost Mountain Books,338,12.99,0,1,1,0,0,68244,,0
2014,CookbooksFood&Wine,4,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,2014,Clarkson Potter,272,35,1,0,1,0,0,109221.86,,1
2014,CookbooksFood&Wine,4,The Skinnytaste Cookbook: Light on Calories Big・,Gina Homolka,2014,Clarkson Potter,320,32.5,1,1,1,0,0,3157,,1
2014,CookbooksFood&Wine,4,Against All Grain: Delectable Paleo Recipes to・,Danielle Walker,2013,Victory Belt Publishing,368,34.95,1,1,1,0,0,190040.18,,0
2013,CookbooksFood&Wine,4,Wheat Belly: Lose the Wheat Lose the Weight・,William Davis,2019,Rodale Books,400,17.99,0,1,2,0,1,39943633.89,,1
2013,CookbooksFood&Wine,4,The Pioneer Woman Cooks: A Year of Holidays:・,Ree Drummond,2013,William Morrow Cookbooks,400,29.99,1,0,1,0,0,1.99E+05,,1
2013,CookbooksFood&Wine,4,IT'S ALL GOOD: Delicious Easy Recipes That Will・,Gwyneth Paltrow,2013,Grand Central Life & Style,303,35,1,1,1,0,0,278237.8275,,1
2013,CookbooksFood&Wine,4,Jerusalem: A Cookbook,Yotam Ottolenghi,2012,Ten Speed Press ,320,35,0,1,1,0,0,42592,,1
2013,CookbooksFood&Wine,4,Practical Paleo: A Customized Approach to・,Diane Sanfilippo,2016,Victory Belt Publishing,480,39.95,1,1,1,0,0,2767.178282,,0
2013,CookbooksFood&Wine,4,Forks Over Knives！The Cookbook: Over 300・,Del Sroufe,2012,The Experiment,368,15.95,0,1,2,0,1,0,,0
2013,CookbooksFood&Wine,4,Wheat Belly Cookbook: 150 Recipes to Help You・,William Davis,2012,Rodale Books,322,27.99,0,1,1,0,0,660615.0969,,1
2012,CookbooksFood&Wine,4,Barefoot Contessa Foolproof: Recipes You Can・,Ina Garten,2012,Clarkson Potter,272,35,1,0,1,0,0,62748.69062,,1
2012,CookbooksFood&Wine,4,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,2012,William Morrow Cookbooks,304,29.99,1,0,1,0,0,1.44E+05,,1
2012,CookbooksFood&Wine,4,The Smitten Kitchen Cookbook: Recipes and・,Deb Perelman,2012,Knopf,336,35,1,1,1,0,0,4131.280252,,1
2012,CookbooksFood&Wine,4,Forks Over Knives: The Plant-Based Way to Health,Gene Stone (Editor,2011,The Experiment,224,14.95,0,1,2,0,1,62164.07549,,0
2012,CookbooksFood&Wine,4,The 4-Hour Chef: The Simple Path to Cooking・,Timothy Ferriss,2012,Houghton Mifflin Harcourt,672,19.99,0,0,1,0,0,5.45E-02,,1
2012,CookbooksFood&Wine,4,The Pioneer Woman Cooks: Recipes from an・,Ree Drummond,2009,William Morrow Cookbooks,256,29.99,1,0,3,1,1,9.99E+06,,1
2011,CookbooksFood&Wine,4,Hungry Girl 300 Under 300: 300 Breakfast・,Lisa Lillien,2011,St. Martin's Griffin,560,11.99,1,0,1,0,0,9.93E+02,,1
2020,MedicalBooks,5,The Body Keeps the Score: Brain Mind and Body・,Bessel van der Kolk M.D.,2015,Penguin Books,464,14.99,0,1,3,1,1,2023.12,2019_32,1
2019,HealthFitness&Dieting,5,The Obesity Code: Unlocking the Secrets of・,Dr. Jason Fung,2016,Greystone Books,296,18.99,0,1,1,0,0,16085.77388,2019_88,0
2019,HealthFitness&Dieting,5,Medical Medium Liver Rescue: Answers to・,Anthony William,2018,Hay House Inc.,496,34.99,0,1,2,0,1,4131280.252,2019_93,0
2018,HealthFitness&Dieting,5,The Plant Paradox: The Hidden Dangers in・,Steven R. Gundry MD MD,2017,Tantor Audio,416,29.99,0,1,2,0,1,6140,,0
2015,HealthFitness&Dieting,5,Being Mortal: Medicine and What Matters in the・,Atul Gawande,2016,Atul Gawande,304,16,0,0,1,0,0,16940,,1
2015,HealthFitness&Dieting,5,Diagnostic and Statistical Manual of Mental・,American Psychiatric Association,2013,American Psychiatric Publishing,991,160,2,1,3,1,1,314781.5,,0
2014,HealthFitness&Dieting,5,Grain Brain: The Surprising Truth about Wheat・,David Perlmutter MD,2018,Little Brown Spark,384,28,2,1,2,0,1,28000,,1
2013,HealthFitness&Dieting,5,Shred: The Revolutionary Diet: 6 Weeks 4 Inches・,Ian K. Smith,2014,Griffin,288,16.99,0,1,1,0,0,260419.467,,0
2013,HealthFitness&Dieting,5,Becoming a Supple Leopard: Movement・,Kelly Starrett,2015,Victory Belt Publishing,480,59.95,0,1,1,0,0,8379.48353,,0
2013,HealthFitness&Dieting,5,The FastDiet: Lose Weight Stay Healthy and Live・,Dr Dr Michael Mosley,2015,Atria Books,256,16.99,2,1,1,0,0,33637.49975,,1
2013,MedicalBooks,5,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2011,Crown ,381,17,1,0,3,1,1,3916.921371,,1
2013,HealthFitness&Dieting,5,Eat to Live: The Amazing Nutrient-Rich Program・,Joel Fuhrman MD,2011,Little Brown Spark,400,17.99,0,1,4,1,1,4251.7464,,1
2012,HealthFitness&Dieting,5,The Blood Sugar Solution: The UltraHealthy・,Mark Hyman M.D.,2014,Little Brown Spark,448,17.99,0,1,1,0,0,39364.08542,,1
2012,HealthFitness&Dieting,5,The 17 Day Diet: A Doctor's Plan Designed for・,Mike Moreno,2011,Free Press,256,25,0,1,2,0,1,138664.911,,0
2012,HealthFitness&Dieting,5,The China Study: The Most Comprehensive Study・,T. Colin Campbell,2004,BenBella Books,496,17.95,0,1,2,0,1,1.19E+05,,0
2011,HealthFitness&Dieting,5,The 4 Hour Body: An Uncommon Guide to Rapid・,Timothy Ferriss,2010,Harmony,592,28,0,0,1,0,0,8.70E+03,,1
2011,HealthFitness&Dieting,5,The Dukan Diet: 2 Steps to Lose the Weight 2・,Pierre Dukan,2011,Crown Archetype,304,27,0,1,1,0,0,7.25E+03,,1
2011,HealthFitness&Dieting,5,Prevent and Reverse Heart Disease: The・,Ann Crile Esselstyn,2007,Avery,288,26,0,1,1,0,0,1.26E+02,,1
2011,HealthFitness&Dieting,5,Born to Run: A Hidden Tribe Superathletes and・,Christopher McDougall,2011,Vintage,304,16.95,0,0,3,1,1,43780,,1
2020,Politics&SocialSciences,7,1984 (Signet Classics),George Orwell,1950,Signet Classic ,328,9.99,0,1,5,1,1,355740,,1
2020,Politics&SocialSciences,7,Between the World and Me,Ta-Nehisi Coates,2015,One World,176,26,0,1,3,1,1,50380,,0
2020,Politics&SocialSciences,7,Fahrenheit 451,Ray Bradbury,2012,Simon & Schuster,249,17,0,1,7,1,1,156200,2019_71,1
2019,Politics&SocialSciences,7,Unfreedom of the Press,Mark R. Levin,2019,Threshold Editions,272,28,0,0,1,0,0,170000,2019_21,1
2019,Politics&SocialSciences,7,The Mueller Report,The Washington Post,2019,Scribner ,736,15,2,1,1,0,0,157058000,2019_50,1
2019,Politics&SocialSciences,7,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2020,Harper Perennial,443,24.99,0,1,3,1,1,95449.7,2019_61,1
2019,Politics&SocialSciences,7,Talking to Strangers: What We Should Know・,Malcolm Gladwell,2020,"Little, Brown and Company",386,30,0,0,1,0,0,59411,2019_68,1
2019,Politics&SocialSciences,7,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,Random House Canada,448,25.95,0,1,2,0,1,106536.4,2019_73,1
2019,Politics&SocialSciences,7,Blowout: Corrupted Democracy Rogue State・,Rachel Maddow,2019,Crown,432,30,1,1,1,0,0,291000,2019_81,1
2019,History,7,The Pioneers: The Heroic Story of the Settlers・,David McCullough,2020,Simon & Schuster ,352,18,0,0,1,0,0,1.75E+05,2019_91,1
2018,Politics&SocialSciences,7,Fire and Fury: Inside the Trump White House,Michael Wolff,2019,Henry Holt and Company,336,30,0,1,1,0,0,403700,,1
2018,Politics&SocialSciences,7,Fear: Trump in the White House,Bob Woodward,2019,Simon & Schuster,448,18,0,0,1,0,0,136400,,1
2018,Politics&SocialSciences,7,Whose Boat Is This Boat?: Comments That Don't・,The Staff of The Late Show with Stephen Colbert ,2020,Simon & Schuster,12,14.99,2,0,1,0,0,63500,,1
2018,Politics&SocialSciences,7,Ship of Fools: How a Selfish Ruling Class Is・,Tucker Carlson,2019,Thorndike Press Large Print,333,17,0,1,1,0,0,241659,,1
2018,Science&Math,7,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,W. W. Norton & Company,224,18.95,0,1,2,0,1,79310,,0
2018,Politics&SocialSciences,7,The Russia Hoax: The Illicit Scheme to Clear・,Gregg Jarrett,2018,Broadside Books,352,16.99,0,1,1,0,0,20449,,1
2018,Politics&SocialSciences,7,The Handmaid's Tale,Margaret Atwood,1998,Anchor,311,15.95,1,1,2,0,1,174684.9234,,1
2017,Politics&SocialSciences,7,Hillbilly Elegy: A Memoir of a Family and Culture・,J. D. Vance,2018,Harper Paperbacks,288,16.99,0,1,2,0,1,143000,,1
2017,Politics&SocialSciences,7,What Happened,Hillary Rodham Clinton,2020,Simon & Schuster,264,18.99,1,0,1,0,0,28435,,1
2017,Politics&SocialSciences,7,Obama: An Intimate Portrait,Pete Souza,2017,Little Brown and Company,352,50,0,1,1,0,0,25508.70684,,1
2017,History,7,Killers of the Flower Moon: The Osage Murders・,David Grann,2018,Vintage,400,16.95,0,1,1,0,0,13530,,1
2017,History,7,On Tyranny: Twenty Lessons from the Twentieth・,Timothy Snyder,2017,Tim Duggan Books,128,9.99,0,1,1,0,0,97562.3,,1
2017,History,7,Killing England: The Brutal Struggle for・,Bill O'Reilly,2020,Henry Holt and Co.,340,30,0,0,1,0,0,178890.4175,,1
2016,History,7,Killing the Rising Sun: How America Vanquished・,Bill O'Reilly,2016,Henry Holt and Co.,336,30,0,0,1,0,0,90200,,1
2016,History,7,The Constitution of the United States,Founding Fathers (Creator,1995,Applewood Books,36,1.99,0,1,1,0,0,58410,,0
2016,Politics&SocialSciences,7,Crisis of Character: A White House Secret Service・,Gary J. Byrne,2017,Center Street,336,17.99,0,1,1,0,0,59170.1374,,1
2015,History,7,The Boys in the Boat: Nine Americans and Their・,Daniel James Brown,2014,Penguin Books ,404,9.99,0,1,2,0,1,24357300,,1
2015,History,7,The Wright Brothers,David McCullough,2014,Simon & Schuster,320,18,0,0,1,0,0,1.38E+05,,1
2015,History,7,Unbroken: A World War II Story of Survival・,Laura Hillenbrand,2016,Random House Trade Paperback,473,28,1,0,6,1,1,5573.330906,,1
2015,Science&Math,7,Thing Explainer: Complicated Stuff in Simple・,Randall Munroe,2015,Houghton Mifflin Harcourt,64,23.09,0,1,1,0,0,39200,,1
2015,History,7,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,2016,Crown,480,18,0,0,1,0,0,4.58E+04,,1
2014,Politics&SocialSciences,7,Capital in the Twenty First Century,Thomas Piketty,2017,Belknap Press,816,20.5,0,1,1,0,0,8964.09866,,0
2013,Politics&SocialSciences,7,Things That Matter: Three Decades of Passions・,Charles Krauthammer,2013,Crown Forum,400,28,0,1,1,0,0,7458.27181,,1
2013,Politics&SocialSciences,7,David and Goliath: Underdogs Misfits and the・,Malcolm Gladwell,2013,Little Brown and Company ,352,18,0,0,1,0,0,61490,,1
2013,History,7,George Washington's Secret Six: The Spy Ring・,Brian Kilmeade,2016,Sentinel,320,9.99,0,1,1,0,0,5164.100315,,1
2013,Politics&SocialSciences,7,America the Beautiful: Rediscovering What Made・,Ben Carson MD,2014,Zonderva,253,16.99,0,1,1,0,0,43048.9323,,1
2013,Politics&SocialSciences,7,The Liberty Amendments: Restoring the・,Mark R. Levin,2014,Threshold Editions,272,16,0,0,1,0,0,94859.039,,1
2013,Politics&SocialSciences,7,The Bully Pulpit: Theodore Roosevelt William・,Doris Kearns Goodwin,2015,Simon & Schuster,750,22,1,0,1,0,0,12023.58451,,1
2013,Science&Math,7,MyMathLab: Student Access Kit,Hall H Pearson Education,2003,Pearson,365,72.99,2,1,1,0,0,103476.878,,1
2012,Politics&SocialSciences,7,The Amateur,David Halberstam,1996,Ballantine Books,221,11.99,0,0,1,0,0,5733.4156,,1
2012,Politics&SocialSciences,7,America Again: Re-becoming the Greatness We・,Stephen Colbert,2012,Grand Central Publishing,356,18,0,0,1,0,0,188429.67,,1
2012,History,7,Behind the Beautiful Forevers: Life Death and・,Katherine Boo,2014,Random House Trade Paperbacks,288,17.99,1,1,1,0,0,22722.04139,,1
2012,History,7,The Passage of Power: The Years of Lyndon・,Robert A. Caro,2012,Vintage,768,18.95,0,0,1,0,0,2.49E+05,,1
2011,Politics&SocialSciences,7,Boomerang: Travels in the New Third World,Michael Lewis,2011,W. W. Norton & Company,224,16.95,0,0,1,0,0,10074867.4,,0
2011,Politics&SocialSciences,7,The Social Animal: The Hidden Sources of Love・,David Brooks,2011,Random Hous,468,18,1,1,1,0,0,499580.2,,1
2011,Politics&SocialSciences,7,The Big Short: Inside the Doomsday Machine,Michael Lewis,2011,W. W. Norton & Company,291,15.95,0,0,1,0,0,64324813,,0
